scheduleID,league_color,league_name_cn,league_name_tc,league_abbr,home_team_cn,home_team_tc,home_team_en,away_team_cn,away_team_tc,away_team_en,match_time,status,home_score,away_score,home_half_score,away_half_score,home_red_cards,away_red_cards,home_yellow_cards,away_yellow_cards,home_rank,away_rank,home_team_id,away_team_id,country_id,status_label
2813682,#0099CC,葡甲,葡甲,POR D2,维塞乌,維塞烏,Viseu,雷克斯欧斯,歷索斯,Leixoes,19:00,3,3,1,1,1,0,1,1,1,2,12,1805,1047,6,下半场
2865307,#99CC00,西协乙3,西協乙3,SPA D43,卡斯迪隆B队,卡斯迪隆B隊,Castellon B,圣特安德雷,聖安德魯,Sant Andreu,19:00,3,1,1,1,1,1,0,3,3,3-10,3-1,31930,3231,3,下半场
2948726,#3C5975,越南联,越南聯,VIE D1,平阳,平陽,Becamex TP Ho Chi Minh,河静红林,河靜紅林,Hong Linh Ha Tinh,19:00,3,2,0,0,0,0,0,1,1,10,8,7240,26630,102,下半场
2948729,#3C5975,越南联,越南聯,VIE D1,宁平FC,寧平FC,Ninh Binh FC,河内公安,河內公安,Cong An Ha Noi,19:00,3,1,2,0,1,0,0,2,2,3,1,31122,24468,102,下半场
2959045,#00A8A8,球会友谊,球會友誼,INT CF,斯塔贝克女足,史達比克女足,Stabaek (W),侯尼霍斯女足,侯尼霍斯女足,Honefoss (W),19:00,3,2,1,1,1,0,0,1,0,挪女超4,挪女超6,10152,37787,52,下半场
2822064,#cc9900,土丙,土丙,TUR 3,卡尔希雅,卡爾希雅,Karsiyaka,阿华利古奇,阿華利古奇,Ayvalikgucu Belediyespor,19:00,3,2,0,1,0,0,1,2,3,3,4,1568,22098,32,下半场
2910374,#7A355E,泰超,泰超,THA PR,武里南联,武里南聯,Buriram United,春武里,春武里,Chonburi Shark FC,19:00,3,4,0,3,0,0,1,0,1,1,10,4028,4272,100,下半场
2950670,#0F3CFF,俄乙A,俄乙A,RUS D3A,阿兰尼亚瓦拉,阿蘭尼亞瓦拉,Alania Vladikavkaz,圣彼得堡泽尼特B队,聖彼德斯堡B隊,Zenit-2 St.Petersburg,19:00,3,3,1,3,1,0,0,2,2,9,8,422,4537,18,下半场
2877968,#b00900,西丁,西丁,Spain D4,科尔多瓦B队,科爾多瓦B隊,Cordoba B,中央竞技队,中央競技隊,Atletico Central,19:00,3,1,0,0,0,0,0,3,4,14,5,21302,71426,3,下半场
2914146,#993366,泰甲,泰甲,THA L2,斯沙克特联,斯沙克特聨,Sisaket United,赤大布瑞,赤大布瑞,Chanthaburi FC,19:00,3,1,0,0,0,1,0,1,5,2,10,19623,12004,100,下半场
2881979,#BEB9B9,肯尼超,肯尼超,KEN D1,班得瑞,班得瑞,Bandari,马拉糖足球俱乐部,馬拉糖足球俱樂部,Mara Sugar FC,19:00,3,0,0,0,0,0,0,3,0,9,11,25636,54863,117,下半场
2958001,#3366CC,柬埔超,柬埔超,CPLoff,毗沙卡FC,毗沙卡FC,Visakha FC,科尔森奇FC,科爾森奇FC,ISI Dangkor Senchey FC,19:00,3,2,0,1,0,0,0,1,0,7,11,37195,61798,175,下半场
