win,draw,lose,win_prob,draw_prob,lose_prob,payout_rate,kelly_win,kelly_draw,kelly_lose,change_time,is_opening,win_dir,draw_dir,lose_dir
2.40,3.00,2.70,37.19%,29.75%,33.06%,89.26%,0.85,0.89,0.94,03-07 07:18,0,up,down,unchanged
2.50,2.90,2.70,35.87%,30.92%,33.21%,89.67%,0.89,0.86,0.94,03-07 07:04,0,up,unchanged,down
2.70,2.90,2.50,33.21%,30.92%,35.87%,89.67%,0.96,0.86,0.87,03-07 06:02,0,down,unchanged,unchanged
2.63,2.90,2.50,33.8%,30.65%,35.55%,88.88%,0.93,0.86,0.87,03-07 05:57,0,up,unchanged,down
2.70,2.90,2.45,32.97%,30.7%,36.33%,89.02%,0.96,0.86,0.85,03-07 05:53,0,up,unchanged,down
2.75,2.90,2.40,32.32%,30.65%,37.03%,88.88%,0.97,0.86,0.83,03-07 05:26,0,down,unchanged,up
2.63,2.90,2.50,33.8%,30.65%,35.55%,88.88%,0.93,0.86,0.87,03-07 05:20,0,up,unchanged,unchanged
2.70,2.90,2.50,33.21%,30.92%,35.87%,89.67%,0.96,0.86,0.87,03-07 05:06,0,down,unchanged,unchanged
2.50,2.90,2.50,34.94%,30.12%,34.94%,87.35%,0.89,0.86,0.87,03-07 05:04,0,up,unchanged,unchanged
2.63,2.90,2.50,33.8%,30.65%,35.55%,88.88%,0.93,0.86,0.87,03-07 04:59,0,down,unchanged,up
2.50,2.90,2.63,35.55%,30.65%,33.8%,88.88%,0.89,0.86,0.91,03-06 21:02,0,up,unchanged,down
2.60,2.90,2.60,34.52%,30.95%,34.52%,89.76%,0.92,0.86,0.90,03-06 13:06,0,down,up,down
2.50,3.00,2.50,35.29%,29.41%,35.29%,88.24%,0.89,0.89,0.87,03-03 21:52,0,up,unchanged,unchanged
2.63,3.00,2.50,34.15%,29.93%,35.92%,89.8%,0.93,0.89,0.87,03-03 21:31,0,unchanged,down,unchanged
2.63,2.90,2.50,33.8%,30.65%,35.55%,88.88%,0.93,0.86,0.87,03-02 08:57,1,unchanged,unchanged,unchanged
