company_id,company_name,open_home,open_handicap,open_away,cur_home,cur_handicap,cur_away
1,澳*,0.92,一球,0.78,1.00,球半,0.70
3,Crow*封,0.98,一球,0.84,1.06,球半,0.82
8,36*封,0.98,一球,0.83,0.82,一球/球半,0.97
12,易*,1.04,一球,0.90,0.87,一球/球半,1.09
14,伟*封,0.93,一球,0.78,0.97,球半,0.75
17,明*,0.93,一球,0.83,0.91,一球/球半,0.97
23,金宝*封,0.99,一球,0.85,0.85,一球/球半,1.07
24,12*封,0.93,一球,0.83,0.91,一球/球半,0.97
31,利*封,0.97,一球,0.85,1.04,球半,0.80
35,盈*封,0.97,一球,0.81,1.05,球半,0.85
42,18*封,0.79,一球,0.90,0.84,一球/球半,0.90
47,平*,0.94,一球,0.83,0.88,一球/球半,0.97
9,威*封,0.88,一球,0.84,0.80,一球/球半,0.90
19,Interwet*,0.90,一球,0.80,0.95,球半,0.75
50,1x*封,1.10,一球/球半,0.65,1.14,球半,0.71
