company_id,record_id,company_name,open_win,open_draw,open_lose,open_win_prob,open_draw_prob,open_lose_prob,open_payout_rate,cur_win,cur_draw,cur_lose,cur_win_prob,cur_draw_prob,cur_lose_prob,cur_payout_rate,kelly_win,kelly_draw,kelly_lose,change_time,label,flag1,flag2,hist_kelly_win,hist_kelly_draw,hist_kelly_lose
281,151032146,Bet 365,2.7,3.1,2.5,33.89,29.51,36.6,91.5,2.4,3.3,2.87,39.01,28.37,32.62,93.62,0.85,0.98,1.00,"2026,03-1,06,23,30,00",36*(英国),1,0,0.96,0.92,0.87
80,151084403,Macauslot,2.5,3.13,2.48,35.63,28.46,35.92,89.07,2.4,3.13,2.6,37.18,28.51,34.32,89.22,0.85,0.93,0.90,"2026,03-1,06,23,30,00",澳*,1,0,0.89,0.93,0.86
432,151131596,HK Jockey Club,2.62,2.92,2.45,33.71,30.24,36.05,88.32,2.43,2.92,2.64,36.33,30.23,33.44,88.28,0.86,0.87,0.92,"2026,03-1,06,23,30,00",香港马*(中国香港),1,0,0.93,0.87,0.85
115,151025873,William Hill,2.63,2.9,2.5,33.8,30.65,35.55,88.88,2.4,3,2.7,37.19,29.75,33.06,89.26,0.85,0.89,0.94,"2026,03-1,06,23,19,00",威*(英国),1,0,0.93,0.86,0.87
82,151023460,Ladbrokes,2.25,3.1,2.8,39.54,28.7,31.77,88.95,2.4,3,2.7,37.19,29.75,33.06,89.26,0.85,0.89,0.94,"2026,03-1,06,23,30,00",立*(英国),1,0,0.80,0.92,0.97
81,151109634,Vcbet,2.63,3.1,2.6,34.97,29.66,35.37,91.96,2.5,3.1,2.88,37.39,30.15,32.46,93.48,0.89,0.92,1.00,"2026,03-1,06,23,30,00",伟*(直布罗陀),1,0,0.93,0.92,0.90
90,151029035,Easybets,2.7,3.1,2.5,33.89,29.51,36.6,91.5,2.47,3.1,2.8,37.33,29.74,32.93,92.2,0.88,0.92,0.97,"2026,03-1,06,23,30,00",易*(安提瓜和巴布达),1,0,0.96,0.92,0.87
104,150972725,Interwetten,2.3,3.15,2.9,39.63,28.94,31.43,91.15,2.5,3,2.75,36.46,30.39,33.15,91.16,0.89,0.89,0.96,"2026,03-1,06,23,30,00",Interwet*(塞浦路斯),1,0,0.81,0.94,1.01
16,150941778,10BET,2.28,3.2,2.95,40.24,28.67,31.1,91.74,2.55,3.15,2.8,36.76,29.76,33.48,93.74,0.90,0.94,0.97,"2026,03-1,06,23,11,00",10*(英国),1,0,0.81,0.95,1.03
18,151051833,12bet,2.63,3.1,2.4,33.96,28.82,37.22,89.33,2.47,3.1,2.8,37.33,29.74,32.93,92.2,0.88,0.92,0.97,"2026,03-1,06,23,30,00",12*(菲律宾),1,0,0.93,0.92,0.83
976,150915823,18Bet,2.25,3.25,2.95,40.73,28.2,31.07,91.65,2.4,3.3,2.85,38.92,28.31,32.77,93.41,0.85,0.98,0.99,"2026,03-1,06,23,30,00",18*,1,0,0.80,0.97,1.03
255,151023656,Bwin,2.35,3.3,2.9,39.64,28.23,32.13,93.16,2.5,3.2,2.75,37.17,29.04,33.79,92.93,0.89,0.95,0.96,"2026,03-1,06,23,30,00",Bwi*(奥地利),1,0,0.83,0.98,1.01
88,151025030,Coral,2.4,3,2.7,37.19,29.75,33.06,89.26,2.62,3.1,2.4,34.05,28.78,37.17,89.21,0.93,0.92,0.83,"2026,03-1,06,22,26,00",Cora*(英国),1,0,0.85,0.89,0.94
545,151028299,Crown,2.67,3.25,2.5,34.61,28.43,36.96,92.4,2.47,3.2,2.75,37.45,28.91,33.64,92.51,0.88,0.95,0.96,"2026,03-1,06,23,30,00",Crow*,1,0,0.95,0.97,0.87
649,151053228,IBCBET,2.63,3.1,2.4,33.96,28.82,37.22,89.33,2.68,3.1,2.46,33.85,29.27,36.88,90.73,0.95,0.92,0.86,"2026,03-1,06,22,26,00",IBC*(哥斯达黎加),1,0,0.93,0.92,0.83
177,151023870,Pinnacle,2.79,3.22,2.53,33.68,29.18,37.14,93.96,2.57,3.21,2.96,37.47,30,32.53,96.3,0.91,0.96,1.03,"2026,03-1,06,23,30,00",Pinna*(荷兰),1,0,0.99,0.96,0.88
422,151025029,Sportingbet,2.5,3.2,2.8,37.4,29.22,33.39,93.49,2.75,3.2,2.5,33.79,29.04,37.17,92.93,0.97,0.95,0.87,"2026,03-1,06,22,26,00",博天*(瓦努阿图),1,0,0.89,0.95,0.97
499,151028234,188bet,2.67,3.25,2.5,34.61,28.43,36.96,92.4,2.47,3.2,2.75,37.45,28.91,33.64,92.51,0.88,0.95,0.96,"2026,03-1,06,23,30,00",金宝*(马恩岛),1,0,0.95,0.97,0.87
474,151085063,Sbobet,2.57,2.94,2.54,34.65,30.29,35.06,89.05,2.38,3.02,2.85,38.12,30.04,31.84,90.73,0.84,0.90,0.99,"2026,03-1,06,23,30,00",利*(英国),1,0,0.91,0.88,0.88
517,151053744,Mansion88,2.63,3.1,2.4,33.96,28.82,37.22,89.33,2.38,3.1,2.8,38.2,29.33,32.47,90.92,0.84,0.92,0.97,"2026,03-1,06,23,30,00",明*(菲律宾),1,0,0.93,0.92,0.83
659,150986155,Wewbet,2.33,3.11,2.85,38.96,29.19,31.85,90.78,2.42,3.02,2.89,37.9,30.37,31.73,91.71,0.86,0.90,1.00,"2026,03-1,06,23,30,00",盈*(菲律宾),1,0,0.83,0.93,0.99
